Date	MTTR	Devices	Faults
2017-09-11	29435.842857	1	1
2017-09-18	1744.685714	1	1
2017-09-25	1744.685714	1	1
2017-10-02	47848.130440	6	1
2017-10-09	24930.153230	6	1
2017-10-16	24384.586266	6	1
2017-10-23	30101.876648	6	1
2017-10-30	18176.835810	6	1
2017-11-06	21067.408505	6	1
2017-11-13	47593.728041	22	2
2017-11-20	31290.175422	16	2
2017-11-27	48797.658463	35	2
2017-12-04	41137.218643	29	2
2017-12-11	29148.898090	32	2
2017-12-18	35526.498377	39	2
2017-12-25	29211.102202	33	2
2018-01-01	65053.666946	146	2
2018-01-08	31769.217298	44	3
2018-01-15	19083.397021	47	3
2018-01-22	18668.960502	47	4
2018-01-29	31171.734788	100	4
2018-02-05	34825.783768	127	4
2018-02-12	50110.564068	168	4
2018-02-19	24713.473952	123	4
2018-02-26	31652.688588	129	4
2018-03-05	22259.743478	124	4
2018-03-12	32076.277376	135	4
2018-03-19	33081.451376	136	5
2018-03-26	29904.820040	129	4
2018-04-02	37170.463623	139	4
2018-04-09	39833.192672	154	5
2018-04-16	49666.723444	166	6
2018-04-23	45745.767483	143	6
2018-04-30	45752.555819	147	6
2018-05-07	41704.141421	140	6
2018-05-14	53117.228564	160	7
2018-05-21	46960.820224	152	7
2018-05-28	52194.895428	167	7
2018-06-04	47898.060479	161	8
2018-06-11	48300.722290	146	7
2018-06-18	54994.810498	163	7
2018-06-25	50936.120959	148	7
2018-07-02	48473.153945	157	7
2018-07-09	53041.643343	163	7
2018-07-16	57727.598859	164	7
2018-07-23	52873.528937	150	7
2018-07-30	54161.560643	146	7
2018-08-06	53880.680870	151	7
2018-08-13	55306.153747	147	9
2018-08-20	54368.968997	126	8
2018-08-27	55562.327068	128	8
2018-09-03	52060.562432	109	7
2018-09-10	57262.718704	112	7
2018-09-17	63963.971999	106	7
2018-09-24	66350.389724	112	6
2018-10-01	57275.166667	5	2
